TimeSinceStart,UserID,Task,Dataset,Layout,QuestionLevel,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
31.42222,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.42222,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.44444,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.46667,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.48889,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.51111,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.55556,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.57778,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.6,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.62222,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.64445,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.66667,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.68889,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.71111,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.73333,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.75556,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.77778,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.8,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.82222,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.84444,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.86667,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.88889,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.91111,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.93333,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.95556,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
31.97778,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.02222,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.04445,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.06667,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.08889,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.11111,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.13334,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.15556,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.17778,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.2,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.22222,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.24445,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.26667,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.28889,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.31111,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.33334,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
32.35556,15,0,BIM,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
