TimeSinceStart,UserHeight,TrialID,ParticipantID,ExperimentSequence,Dataset,Layout,TaskID,TaskLevel,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,LeftMenuButtonPressed,LeftTriggerButtonPressed,LeftGripButtonPressed,LeftPadPressed,RightMenuButtonPressed,RightTriggerButtonPressed,RightGripButtonPressed,RightPadPressed,RotatingClockwise,RotatingAnticlockwise,ScaleUp,ScaleDown,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,SMRotationDiff,FilterXMin,FilterXMax,FilterYMin,FilterYMax,FilterZMin,FilterZMax,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
9.544445,1.547785,0,13,1,BIM,Flat,0,1,PreTask,-1.281929,0.6628059,-2.191078,354.624,232.2132,1.622755,-1.755408,0.9471196,-2.059191,345.2302,161.3479,10.69301,-1.591329,0.9459834,-1.971756,346.3849,151.8342,357.2099,False,False,False,False,False,False,False,False,False,False,False,False,0.15,-0.4179021,0.8,0.9379579,0,0,1,0,1,0,1,0,0,NA,0,0,0
9.811111,1.547785,0,13,1,BIM,Flat,0,1,PreTask,-1.282339,0.6630925,-2.190069,354.6143,232.2178,1.60428,-1.755387,0.9470073,-2.059049,345.2292,161.3547,10.70676,-1.591042,0.9460089,-1.971698,346.3936,151.8425,357.2008,False,False,False,False,False,False,False,False,False,False,False,False,0.15,-0.4179021,0.8,0.9379579,0,0,1,0,1,0,1,0,0,NA,0,0,0
9.911111,1.547785,0,13,1,BIM,Flat,0,1,PreTask,-1.282314,0.6630927,-2.190018,354.6088,232.2124,1.612511,-1.755376,0.9468703,-2.059329,345.2318,161.3285,10.71975,-1.591127,0.9461676,-1.971863,346.3785,151.824,357.219,False,False,False,False,False,False,False,False,False,False,False,False,0.15,-0.4179021,0.8,0.9379579,0,0,1,0,1,0,1,0,0,NA,0,0,0
10,1.547785,0,13,1,BIM,Flat,0,1,PreTask,-1.282319,0.6631567,-2.19061,354.6049,232.2243,1.617518,-1.7556,0.9471984,-2.059457,345.2263,161.3304,10.7081,-1.591269,0.9460726,-1.971751,346.3748,151.8305,357.1947,False,False,False,False,False,False,False,False,False,False,False,False,0.15,-0.4179021,0.8,0.9379579,0,0,1,0,1,0,1,0,0,NA,0,0,0
10.07778,1.547785,0,13,1,BIM,Flat,0,1,PreTask,-1.282204,0.6631376,-2.190641,354.5916,232.242,1.608142,-1.755785,0.9472296,-2.059537,345.2276,161.3329,10.70006,-1.591408,0.946197,-1.971711,346.3631,151.8221,357.1783,False,False,False,False,False,False,False,False,False,False,False,False,0.15,-0.4179021,0.8,0.9379579,0,0,1,0,1,0,1,0,0,NA,0,0,0
10.14444,1.547785,0,13,1,BIM,Flat,0,1,PreTask,-1.282429,0.6633785,-2.190088,354.6031,232.2421,1.605487,-1.756098,0.947292,-2.059323,345.2215,161.3337,10.71061,-1.591749,0.9462999,-1.971677,346.3727,151.8402,357.1654,False,False,False,False,False,False,False,False,False,False,False,False,0.15,-0.4179021,0.8,0.9379579,0,0,1,0,1,0,1,0,0,NA,0,0,0
10.22222,1.547785,0,13,1,BIM,Flat,0,1,PreTask,-1.282595,0.663133,-2.190112,354.5934,232.2438,1.607426,-1.756261,0.9472462,-2.059139,345.2379,161.3427,10.71748,-1.591631,0.9462024,-1.971636,346.3762,151.8315,357.1985,False,False,False,False,False,False,False,False,False,False,False,False,0.15,-0.4179021,0.8,0.9379579,0,0,1,0,1,0,1,0,0,NA,0,0,0
10.28889,1.547785,0,13,1,BIM,Flat,0,1,PreTask,-1.282564,0.6630614,-2.190038,354.5973,232.2523,1.610173,-1.756132,0.9470905,-2.05934,345.2283,161.3392,10.70874,-1.591483,0.9461969,-1.971708,346.3908,151.8147,357.1839,False,False,False,False,False,False,False,False,False,False,False,False,0.15,-0.4179021,0.8,0.9379579,0,0,1,0,1,0,1,0,0,NA,0,0,0
10.36667,1.547785,0,13,1,BIM,Flat,0,1,PreTask,-1.282599,0.6630185,-2.190041,354.6042,232.2566,1.612362,-1.756049,0.9471004,-2.05926,345.2285,161.3359,10.71423,-1.59139,0.946142,-1.971731,346.3936,151.8176,357.1572,False,False,False,False,False,False,False,False,False,False,False,False,0.15,-0.4179021,0.8,0.9379579,0,0,1,0,1,0,1,0,0,NA,0,0,0
10.44444,1.547785,0,13,1,BIM,Flat,0,1,PreTask,-1.282655,0.6629344,-2.190076,354.5978,232.2716,1.608604,-1.756101,0.9470879,-2.059244,345.2383,161.3311,10.69813,-1.591414,0.9458877,-1.971433,346.376,151.8223,357.1595,False,False,False,False,False,False,False,False,False,False,False,False,0.15,-0.4179021,0.8,0.9379579,0,0,1,0,1,0,1,0,0,NA,0,0,0
