TimeSinceStart,UserID,Task,Dataset,Layout,QuestionLevel,TrialState,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z
9.544445,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.281929,0.6628059,-2.191078,354.624,232.2132,1.622755
9.811111,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282339,0.6630925,-2.190069,354.6143,232.2178,1.60428
9.911111,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282314,0.6630927,-2.190018,354.6088,232.2124,1.612511
10,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282319,0.6631567,-2.19061,354.6049,232.2243,1.617518
10.07778,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282204,0.6631376,-2.190641,354.5916,232.242,1.608142
10.14444,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282429,0.6633785,-2.190088,354.6031,232.2421,1.605487
10.22222,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282595,0.663133,-2.190112,354.5934,232.2438,1.607426
10.28889,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282564,0.6630614,-2.190038,354.5973,232.2523,1.610173
10.36667,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282599,0.6630185,-2.190041,354.6042,232.2566,1.612362
10.44444,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282655,0.6629344,-2.190076,354.5978,232.2716,1.608604
10.51111,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28261,0.6629546,-2.190072,354.5971,232.2777,1.614848
10.58889,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282657,0.6629721,-2.190223,354.6122,232.2764,1.622258
10.67778,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282855,0.6630273,-2.190443,354.5947,232.2814,1.619107
10.75556,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282983,0.6629378,-2.190429,354.6166,232.2998,1.621734
10.83333,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282943,0.6628054,-2.190472,354.6116,232.2951,1.623752
10.9,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28292,0.6627985,-2.190471,354.6034,232.2932,1.625398
10.97778,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282932,0.6628633,-2.190308,354.6107,232.2835,1.628357
11.04445,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282905,0.6628363,-2.190193,354.6043,232.2948,1.638288
11.12222,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282932,0.6627935,-2.190197,354.6141,232.279,1.627093
11.18889,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28281,0.662781,-2.190334,354.6241,232.3,1.649847
11.26667,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282764,0.6629434,-2.190413,354.6196,232.3153,1.647646
11.33333,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282809,0.6628985,-2.190985,354.6271,232.3437,1.636348
11.41111,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282755,0.6629744,-2.191397,354.6284,232.3536,1.640147
11.47778,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282676,0.6629537,-2.191582,354.638,232.3718,1.662362
11.55556,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282841,0.6630508,-2.19105,354.6475,232.3461,1.627981
11.62222,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282809,0.6630733,-2.191053,354.6149,232.3637,1.642037
11.7,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282858,0.6630719,-2.190845,354.653,232.36,1.629755
11.76667,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282835,0.6630598,-2.191158,354.6354,232.3792,1.634235
11.84444,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282822,0.6631,-2.191113,354.6644,232.3716,1.638216
11.91111,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282892,0.6630745,-2.191132,354.6354,232.374,1.644271
11.98889,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282824,0.6629878,-2.190859,354.6278,232.3953,1.655733
12.06667,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.282907,0.6629014,-2.190856,354.658,232.3745,1.63748
12.13333,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28286,0.6630412,-2.190972,354.6448,232.3947,1.658512
12.21111,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28294,0.6630787,-2.190972,354.6631,232.3895,1.65504
12.27778,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283032,0.6631473,-2.191038,354.6586,232.3831,1.66271
12.35556,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283118,0.6631707,-2.191122,354.647,232.4062,1.640826
12.42222,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283094,0.6630775,-2.1912,354.6692,232.4172,1.651795
12.5,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283111,0.6630365,-2.191236,354.6366,232.4115,1.643212
12.57778,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28312,0.6630459,-2.190535,354.6391,232.4136,1.650123
12.62222,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283168,0.6628051,-2.190645,354.6328,232.4023,1.63721
12.67778,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283283,0.6626924,-2.19046,354.6382,232.4192,1.661009
12.73333,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283287,0.662717,-2.190424,354.6477,232.4233,1.648412
12.78889,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28326,0.6628996,-2.190607,354.6573,232.4247,1.637035
12.83333,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283289,0.662852,-2.190577,354.6442,232.4298,1.658528
12.88889,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283248,0.6628684,-2.190563,354.6599,232.4587,1.653911
12.94444,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283219,0.6628908,-2.190403,354.6701,232.4501,1.639856
13,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283278,0.6629032,-2.190387,354.6541,232.453,1.652912
13.04445,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283129,0.6627698,-2.190754,354.6488,232.4495,1.656912
13.1,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28318,0.6627972,-2.190759,354.666,232.453,1.650881
13.15556,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283367,0.6628145,-2.190844,354.6734,232.4775,1.662409
13.21111,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283447,0.6627293,-2.19093,354.6592,232.4775,1.643059
13.26667,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283507,0.6627401,-2.190921,354.6815,232.4872,1.652733
13.32222,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283473,0.6628692,-2.19086,354.6621,232.4728,1.655532
13.37778,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283434,0.6629004,-2.190794,354.6779,232.4585,1.665452
13.43333,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283424,0.662946,-2.190795,354.6573,232.4782,1.660256
13.48889,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283389,0.6627655,-2.191037,354.6583,232.5028,1.668092
13.53333,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28348,0.6628063,-2.191068,354.6847,232.4704,1.684856
13.58889,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283537,0.6627911,-2.191134,354.6524,232.4925,1.680361
13.64444,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283479,0.6627863,-2.191152,354.6486,232.5045,1.692017
13.7,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28346,0.6627802,-2.191151,354.6739,232.5077,1.681358
13.75556,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283465,0.6628349,-2.191145,354.662,232.4768,1.674604
13.81111,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283493,0.6627488,-2.191646,354.6501,232.5043,1.667854
13.86667,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283456,0.6627676,-2.191706,354.6621,232.5079,1.690812
13.91111,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283412,0.6626866,-2.191754,354.6672,232.5076,1.694416
13.96667,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283369,0.6624644,-2.191668,354.6363,232.5283,1.683991
14.02222,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283386,0.6624283,-2.191825,354.6481,232.5222,1.67552
14.07778,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283323,0.66237,-2.191993,354.6322,232.5395,1.688857
14.13333,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28327,0.6623589,-2.192061,354.6464,232.5419,1.681059
14.18889,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28366,0.6625233,-2.191441,354.6197,232.5007,1.678118
14.23333,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283591,0.6626561,-2.191612,354.6341,232.5348,1.665882
14.28889,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283484,0.6626272,-2.191609,354.6469,232.5479,1.671278
14.34445,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283417,0.6626469,-2.191629,354.6347,232.54,1.675576
14.4,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283364,0.6626059,-2.191642,354.6055,232.5629,1.697415
14.44444,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283453,0.6625469,-2.191701,354.6707,232.5328,1.683021
14.5,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.28348,0.6624971,-2.191646,354.6677,232.5297,1.676326
14.54445,13,0,BIM,Flat,1,PreTask,0.15,-0.4179021,0.8,0.9379579,-1.283467,0.6626521,-2.191688,354.6212,232.5494,1.677229
