Latitude,Longitude,TimeStamp
59.78448,-149.595863,1466108519
59.784278,-149.595692,1466108525
59.784278,-149.595692,1466108525
59.784158,-149.595568,1466108529
59.783975,-149.59535,1466108535
59.78386,-149.595198,1466108539
59.783692,-149.594982,1466108545
59.783592,-149.594875,1466108549
59.783445,-149.594705,1466108555
59.783358,-149.594608,1466108559
59.783233,-149.594462,1466108565
59.783095,-149.594333,1466108571
59.783,-149.59427,1466108575
59.782863,-149.594207,1466108581
59.782772,-149.59418,1466108585
59.782637,-149.59413,1466108591
59.782545,-149.594088,1466108595
59.782405,-149.594018,1466108601
59.782322,-149.593967,1466108605
59.7822,-149.59389,1466108611
59.782118,-149.593835,1466108615
59.781987,-149.593743,1466108621
59.781987,-149.593743,1466108621
59.7819,-149.593673,1466108625
59.781818,-149.593593,1466108629
59.78178,-149.593542,1466108631
59.781702,-149.593422,1466108635
59.781583,-149.593195,1466108641
59.781505,-149.593008,1466108645
59.781387,-149.592697,1466108651
59.781308,-149.592477,1466108655
59.781192,-149.592152,1466108661
59.781065,-149.591838,1466108667
59.78097,-149.591595,1466108671
59.780857,-149.59117,1466108677
59.780835,-149.590855,1466108681
59.780918,-149.590425,1466108687
59.78103,-149.590193,1466108691
59.781207,-149.589852,1466108697
59.781207,-149.589852,1466108697
59.781327,-149.589628,1466108701
59.781327,-149.589628,1466108701
59.781385,-149.589517,1466108703
59.781503,-149.589295,1466108707
59.781627,-149.589105,1466108711
59.7818,-149.588797,1466108717
59.781887,-149.588543,1466108721
59.78196,-149.588097,1466108727
59.78196,-149.587778,1466108731
59.781907,-149.587305,1466108737
59.781838,-149.587012,1466108741
59.781838,-149.587012,1466108741
59.781675,-149.586677,1466108747
59.781545,-149.5865,1466108751
59.781333,-149.586298,1466108757
59.781108,-149.586117,1466108763
59.780962,-149.58599,1466108767
59.78074,-149.58578,1466108773
59.780593,-149.585642,1466108777
59.780372,-149.585515,1466108783
59.780223,-149.585493,1466108787
59.780002,-149.585532,1466108793
59.779857,-149.585625,1466108797
59.779653,-149.58582,1466108803
59.779525,-149.58597,1466108807
59.783108,-149.524295,1466109457
59.783075,-149.524182,1466109459
59.783075,-149.524182,1466109459
59.782965,-149.523853,1466109465
59.78289,-149.523648,1466109469
59.78274,-149.523373,1466109475
59.782633,-149.523222,1466109479
59.782435,-149.523098,1466109485
59.782248,-149.522983,1466109491
59.78213,-149.522945,1466109495
59.78191,-149.522895,1466109501
59.78191,-149.522895,1466109501
59.781772,-149.522897,1466109505
59.781575,-149.522912,1466109511
59.781445,-149.522903,1466109515
59.781235,-149.522887,1466109521
59.781098,-149.522883,1466109525
59.780872,-149.522897,1466109531
59.780715,-149.522892,1466109535
59.780642,-149.522877,1466109537
59.780472,-149.522928,1466109541
59.780305,-149.522937,1466109545
59.78007,-149.522943,1466109551
59.779898,-149.522948,1466109555
59.779647,-149.52294,1466109561
59.779488,-149.522947,1466109565
59.779408,-149.52297,1466109567
59.77928,-149.523037,1466109571
59.779142,-149.523165,1466109575
59.778992,-149.52331,1466109579
59.778923,-149.52339,1466109581
59.778722,-149.523558,1466109587
59.778592,-149.523647,1466109591
59.778377,-149.523735,1466109597
59.778377,-149.523735,1466109597
59.77824,-149.523783,1466109601
59.778113,-149.523815,1466109605
59.778047,-149.52382,1466109607
59.777977,-149.523828,1466109609
59.77791,-149.523827,1466109611
59.77773,-149.523808,1466109617
59.777615,-149.52375,1466109621
59.777475,-149.523563,1466109627
59.77738,-149.523395,1466109631
59.777327,-149.523317,1466109633
59.777285,-149.52323,1466109635
59.777247,-149.52314,1466109637
59.777213,-149.522922,1466109641
59.777213,-149.522922,1466109641
59.777202,-149.522703,1466109645
59.777205,-149.52257,1466109647
59.777213,-149.5223,1466109651
59.777227,-149.521872,1466109657
59.777243,-149.521562,1466109661
59.777265,-149.521148,1466109667
59.777263,-149.52069,1466109673
59.777258,-149.520347,1466109677
59.777248,-149.519977,1466109681
59.777243,-149.519797,1466109683
59.777213,-149.519453,1466109687
59.777147,-149.518957,1466109693
59.777117,-149.518622,1466109697
59.77708,-149.518148,1466109703
59.77708,-149.518148,1466109703
59.777038,-149.517877,1466109707
59.776943,-149.517498,1466109713
59.776848,-149.517228,1466109717
59.776753,-149.516835,1466109723
59.776678,-149.516597,1466109727
59.776678,-149.516597,1466109727
59.776498,-149.51632,1466109733
59.776365,-149.516203,1466109737
59.776165,-149.516045,1466109743
59.776032,-149.51595,1466109747
59.775833,-149.515923,1466109753
59.775635,-149.515928,1466109759
59.775568,-149.515932,1466109761
59.775497,-149.515945,1466109763
59.775497,-149.515945,1466109763
59.775497,-149.515945,1466109763
59.775257,-149.515935,1466109769
59.775078,-149.515883,1466109773
59.774807,-149.515822,1466109779
59.77463,-149.51582,1466109783
59.77463,-149.51582,1466109783
59.774383,-149.515822,1466109789
59.77422,-149.515852,1466109793
59.773968,-149.515905,1466109799
59.77381,-149.515925,1466109803
59.773573,-149.51595,1466109809
59.77342,-149.515955,1466109813
59.773187,-149.515927,1466109819
59.773035,-149.515922,1466109823
59.772807,-149.515942,1466109829
59.772648,-149.515942,1466109833
59.772407,-149.515963,1466109839
59.772252,-149.516,1466109843
59.772023,-149.516082,1466109849
59.77181,-149.516183,1466109855
59.771667,-149.516267,1466109859
59.771667,-149.516267,1466109859
59.771453,-149.516375,1466109865
59.771312,-149.516435,1466109869
59.771095,-149.516395,1466109875
59.770972,-149.51635,1466109879
59.770742,-149.516423,1466109885
59.770585,-149.516575,1466109889
59.770388,-149.516773,1466109895
59.77034,-149.516857,1466109897
59.77027,-149.516932,1466109899
59.77005,-149.517162,1466109905
59.769928,-149.517333,1466109909
59.769758,-149.517593,1466109915
59.769675,-149.517823,1466109919
59.769542,-149.518135,1466109925
59.76942,-149.518295,1466109929
59.76924,-149.518457,1466109935
59.769125,-149.518498,1466109939
59.769053,-149.518495,1466109941
59.768932,-149.518565,1466109945
59.768753,-149.518672,1466109951
59.768753,-149.518672,1466109951
59.768635,-149.518703,1466109955
59.768457,-149.518757,1466109961
59.768343,-149.518758,1466109965
59.768157,-149.518802,1466109971
59.768105,-149.5188,1466109973
59.768047,-149.51879,1466109975
59.76786,-149.518755,1466109981
59.767745,-149.518743,1466109985
59.767578,-149.518732,1466109991
59.767433,-149.518703,1466109995
59.767235,-149.518758,1466110001
59.767235,-149.518758,1466110001
59.767175,-149.51876,1466110003
59.767112,-149.51876,1466110005
59.767052,-149.51876,1466110007
59.766923,-149.518753,1466110011
59.766923,-149.518753,1466110011
59.766817,-149.51873,1466110015
59.766765,-149.518727,1466110017
59.766663,-149.518727,1466110021
59.766565,-149.518677,1466110025
59.76652,-149.518648,1466110027
59.76642,-149.518622,1466110031
59.766268,-149.518572,1466110037
59.766205,-149.518528,1466110039
59.766142,-149.51848,1466110041
59.766093,-149.51844,1466110043
59.766005,-149.518367,1466110047
59.765935,-149.518307,1466110051
59.765935,-149.518307,1466110051
59.765838,-149.518142,1466110057
59.765732,-149.518093,1466110061
59.765602,-149.517948,1466110067
59.765527,-149.517843,1466110071
59.76542,-149.517685,1466110077
59.765373,-149.517553,1466110081
59.765367,-149.51739,1466110087
59.765345,-149.517313,1466110091
59.765305,-149.517227,1466110097
59.76529,-149.517168,1466110101
59.765242,-149.517048,1466110107
59.765213,-149.516983,1466110111
59.765143,-149.516875,1466110117
59.765077,-149.516788,1466110123
59.765067,-149.51673,1466110127
59.76509,-149.516675,1466110133
59.76507,-149.51662,1466110137
59.765035,-149.516515,1466110143
59.764967,-149.516417,1466110147
59.764908,-149.516212,1466110153
59.76486,-149.516088,1466110157
59.764807,-149.51587,1466110163
59.76479,-149.5157,1466110167
59.764772,-149.515628,1466110169
59.764715,-149.515503,1466110173
59.764647,-149.515393,1466110177
59.764557,-149.515168,1466110183
59.76449,-149.514977,1466110187
59.764408,-149.514697,1466110193
59.76435,-149.514502,1466110197
59.764245,-149.51426,1466110203
59.76419,-149.514092,1466110207
59.764147,-149.51379,1466110213
59.764075,-149.513538,1466110219
59.764027,-149.513342,1466110223
59.763955,-149.513122,1466110229
59.763887,-149.512953,1466110233
59.763837,-149.512727,1466110239
59.763797,-149.512535,1466110243
59.763727,-149.512243,1466110249
59.763667,-149.512047,1466110253
59.76366,-149.511848,1466110257
59.763657,-149.51175,1466110259
59.763647,-149.511547,1466110263
59.763647,-149.511547,1466110263
59.763585,-149.511255,1466110269
59.76355,-149.511035,1466110273
59.763508,-149.5107,1466110279
59.763475,-149.510458,1466110283
59.763427,-149.510063,1466110289
59.763425,-149.509827,1466110293
59.76343,-149.509462,1466110299
59.763443,-149.5092,1466110303
59.763472,-149.508977,1466110307
59.76348,-149.508827,1466110309
59.763505,-149.508367,1466110315
59.763532,-149.508235,1466110317
59.76356,-149.5081,1466110319
59.763627,-149.507733,1466110325
59.763627,-149.507733,1466110325
59.763697,-149.507458,1466110329
59.763783,-149.507255,1466110333
59.763827,-149.507133,1466110335
59.763827,-149.507133,1466110335
59.763915,-149.506905,1466110339
59.764057,-149.506507,1466110345
59.76417,-149.506288,1466110349
59.76425,-149.506185,1466110351
59.764402,-149.506063,1466110355
59.764472,-149.506,1466110357
59.764533,-149.505935,1466110359
59.764732,-149.505703,1466110365
59.764848,-149.505518,1466110369
59.765078,-149.505327,1466110375
59.765078,-149.505327,1466110375
59.76523,-149.505275,1466110379
59.765457,-149.505333,1466110385
59.765457,-149.505333,1466110385
59.765595,-149.50555,1466110391
59.76565,-149.50569,1466110395
59.76572,-149.50578,1466110399
59.765767,-149.505797,1466110401
59.765867,-149.505787,1466110405
59.765867,-149.505787,1466110405
59.765983,-149.505755,1466110409
59.766032,-149.50575,1466110411
59.766032,-149.50575,1466110411
59.766157,-149.50579,1466110415
59.766282,-149.505927,1466110421
59.766368,-149.506072,1466110425
59.766447,-149.506268,1466110429
59.766467,-149.506358,1466110432
59.766505,-149.506538,1466110435
59.766517,-149.506818,1466110441
59.766517,-149.507023,1466110445
59.766505,-149.507107,1466110447
59.766505,-149.507328,1466110451
59.766545,-149.507552,1466110455
59.766623,-149.507848,1466110461
59.766657,-149.508012,1466110465
59.766722,-149.508227,1466110469
59.766757,-149.508312,1466110471
59.766845,-149.50858,1466110477
59.766887,-149.508752,1466110481
59.735475,-149.510177,1466111929
59.735428,-149.510207,1466111931
59.735428,-149.510207,1466111931
59.73534,-149.510288,1466111935
59.735297,-149.510337,1466111937
59.73521,-149.510433,1466111941
59.73521,-149.510433,1466111941
59.735172,-149.51048,1466111943
59.735083,-149.51058,1466111947
59.734998,-149.510667,1466111951
59.734885,-149.510842,1466111957
59.73483,-149.51098,1466111961
59.734787,-149.511148,1466111967
59.734787,-149.511148,1466111967
59.734767,-149.511233,1466111971
59.734758,-149.511373,1466111977
59.734767,-149.51147,1466111981
59.73478,-149.5116,1466111987
59.734797,-149.511688,1466111991
59.734832,-149.511812,1466111997
59.734882,-149.512023,1466112009
59.734882,-149.512528,1466112063
59.734845,-149.512435,1466112067
59.735387,-149.510265,1466112149
59.734828,-149.511922,1466112291
59.734828,-149.51205,1466112295
59.734832,-149.512115,1466112297
59.734835,-149.512247,1466112301
59.73484,-149.51237,1466112305
59.73485,-149.512437,1466112307
59.734878,-149.512562,1466112311
59.734897,-149.512642,1466112313
59.734908,-149.5128,1466112317
59.734908,-149.5128,1466112317
59.734898,-149.512958,1466112321
59.734898,-149.512958,1466112321
59.734873,-149.5131,1466112325
59.734865,-149.513177,1466112327
59.734862,-149.513268,1466112329
59.734858,-149.513353,1466112331
59.734813,-149.513597,1466112337
59.734772,-149.513755,1466112341
