icao24,callsign,longitude,latitude,baro_altitude,velocity,on_ground,heading,vertical_rate,squawk,time,trajectory_number
'7c7cc6','HM5',144.9034,-37.7134,144.78,33.85,False,253.22,-1.63,'0045',1551242236,0.0
'7c7cc6','HM5',144.9008,-37.7159,106.68,22.66,False,182.6,-2.28,'0045',1551242251,0.06666666666666667
'7c7cc6','HM5',144.9008,-37.719,76.2,17.01,False,176.53,-2.93,'0045',1551242269,0.13333333333333333
'7c7cc6','HM5',144.9008,-37.72,53.34,9.79,False,183.01,-1.63,'0045',1551242278,0.2
'7c7cc6','HM5',144.9007,-37.7204,53.34,6.36,False,194.04,-1.3,'0045',1551242283,0.26666666666666666
'7c7cc6','HM5',144.9014,-37.7318,220.98,34.02,False,176.53,4.88,None,1551245179,0.3333333333333333
'7c7cc6','HM5',144.9016,-37.7342,259.08,37.17,False,175.24,4.88,'0045',1551245187,0.4
'7c7cc6','HM5',144.9017,-37.7388,320.04,43.22,False,179.32,4.88,'0045',1551245199,0.4666666666666667
'7c7cc6','HM5',144.9018,-37.7431,373.38,46.83,False,178.74,4.88,'0045',1551245209,0.5333333333333333
'7c7cc6','HM5',144.9019,-37.7472,411.48,49.9,False,180,2.28,'0045',1551245219,0.6
'7c7cc6','HM5',144.9021,-37.7574,426.72,61.79,False,177.61,-0.33,'0045',1551245239,0.6666666666666666
'7c7cc6','HM5',144.9022,-37.7633,426.72,65.34,False,179.55,-0.65,'0045',1551245250,0.7333333333333333
'7c7cc6','HM5',144.9024,-37.7696,419.1,68.42,False,180,0.33,'0045',1551245260,0.8
'7c7cc6','HM5',144.902,-37.775,426.72,69.13,False,184.27,0.33,'0045',1551245269,0.8666666666666667
'7c7cc6','HM5',144.9014,-37.7814,426.72,68.61,False,184.3,-0.33,'0045',1551245279,0.9333333333333333
'7c7cc6','HM5',144.9009,-37.7875,426.72,68.54,False,183.44,0.33,'0045',1551245289,1.0
'7c7aae','VOZ749',144.7496,-37.7488,1653.54,133.49,False,300.32,12.68,'1425',1551242239,0.0
'7c7aae','VOZ749',144.739,-37.7404,1783.08,135.82,False,319.92,13.66,'1425',1551242249,0.07142857142857142
'7c7aae','VOZ749',144.7316,-37.7291,1935.48,138.43,False,338.87,16.58,'1425',1551242259,0.14285714285714285
'7c7aae','VOZ749',144.7286,-37.7183,2057.4,140.34,False,351.78,15.28,'1425',1551242268,0.21428571428571427
'7c7aae','VOZ749',144.7302,-37.7043,2217.42,143.88,False,10.51,15.28,'1425',1551242279,0.2857142857142857
'7c7aae','VOZ749',144.7358,-37.6916,2346.96,146.93,False,21.35,13.66,'1425',1551242289,0.3571428571428571
'7c7aae','VOZ749',144.7419,-37.6791,2484.12,148.85,False,21.07,14.63,'1425',1551242299,0.42857142857142855
'7c7aae','VOZ749',144.7542,-37.6539,2758.44,151.62,False,21.08,14.63,'1425',1551242319,0.5
'7c7aae','VOZ749',144.7601,-37.6415,2887.98,153.54,False,20.8,13.98,'1425',1551242329,0.5714285714285714
'7c7aae','VOZ749',144.7666,-37.628,3032.76,155.17,False,20.78,14.31,'1425',1551242339,0.6428571428571428
'7c7aae','VOZ749',144.7729,-37.6149,3169.92,156.68,False,21.17,13,'1425',1551242349,0.7142857142857142
'7c7aae','VOZ749',144.7792,-37.6019,3223.26,162.22,False,21.19,3.58,'1425',1551242359,0.7857142857142857
'7c7aae','VOZ749',144.7862,-37.5878,3284.22,168.99,False,21.8,6.5,'1425',1551242369,0.8571428571428571
'7c7aae','VOZ749',144.7938,-37.5744,3329.94,174.88,False,25.43,5.2,'1425',1551242378,0.9285714285714285
'7c7aae','VOZ749',144.804,-37.5597,3390.9,181.49,False,30.49,9.43,'1425',1551242389,1.0
'7c7aa6','VOZ188',144.9691,-37.6693,632.46,97.46,False,273.93,-5.2,'0273',1551242239,0.0
'7c7aa6','VOZ188',144.9586,-37.6687,586.74,95.44,False,274.33,-4.55,'0273',1551242249,0.08333333333333333
'7c7aa6','VOZ188',144.9476,-37.6681,533.4,92.88,False,274.45,-5.2,'0273',1551242259,0.16666666666666666
'7c7aa6','VOZ188',144.9376,-37.6674,487.68,90.79,False,274.22,-5.2,'0273',1551242269,0.25
'7c7aa6','VOZ188',144.9275,-37.6669,441.96,89.25,False,274.3,-4.88,'0273',1551242279,0.3333333333333333
'7c7aa6','VOZ188',144.9186,-37.6664,403.86,87.71,False,274.37,-4.88,'0273',1551242288,0.41666666666666663
'7c7aa6','VOZ188',144.9088,-37.6657,358.14,84.05,False,273.86,-4.55,'0273',1551242298,0.5
'7c7aa6','VOZ188',144.89,-37.6647,274.32,76.9,False,274.6,-4.55,'0273',1551242319,0.5833333333333333
'7c7aa6','VOZ188',144.8813,-37.6642,236.22,77.37,False,274.19,-3.9,'0273',1551242329,0.6666666666666666
'7c7aa6','VOZ188',144.8726,-37.6636,198.12,76.99,False,275.37,-5.85,'0273',1551242339,0.75
'7c7aa6','VOZ188',144.8655,-37.6632,167.64,76.82,False,273.84,-3.25,'0273',1551242347,0.8333333333333333
'7c7aa6','VOZ188',144.8555,-37.6627,121.92,74.34,False,274.76,-3.9,'0273',1551242359,0.9166666666666666
'7c7aa6','VOZ188',144.8542,-37.6626,4107.18,74.81,False,274.34,-3.9,'0273',1551242360,1.0
'7c5cde','SMO',144.9015,-37.7344,137.16,63.87,False,177.23,8.45,'4244',1551242246,0.0
'7c5cde','SMO',144.9021,-37.7423,228.6,66.19,False,174.2,6.5,'4244',1551242259,0.030303030303030304
'7c5cde','SMO',144.9031,-37.7478,289.56,66.22,False,170.61,6.5,'4244',1551242268,0.06060606060606061
'7c5cde','SMO',144.9043,-37.7543,365.76,64.9,False,172.26,8.13,'4244',1551242280,0.09090909090909091
'7c5cde','SMO',144.9053,-37.7597,434.34,63.95,False,171.67,6.5,'4244',1551242289,0.12121212121212122
'7c5cde','SMO',144.9065,-37.7657,480.06,65.99,False,169.22,3.9,'4244',1551242300,0.15151515151515152
'7c5cde','SMO',144.9115,-37.7772,548.64,71.27,False,157.51,3.9,'4244',1551242319,0.18181818181818182
'7c5cde','SMO',144.9148,-37.7829,586.74,71.78,False,153.62,4.55,'4244',1551242329,0.21212121212121213
'7c5cde','SMO',144.9188,-37.7892,640.08,72.7,False,153.07,4.55,'4244',1551242340,0.24242424242424243
'7c5cde','SMO',145.1032,-37.7821,861.06,87.22,False,13.3,-0.65,'4244',1551244487,0.2727272727272727
'7c5cde','SMO',145.1055,-37.7733,861.06,86.77,False,11.98,-0.33,'4244',1551244498,0.30303030303030304
'7c5cde','SMO',145.1077,-37.7653,861.06,87.11,False,12.97,0.33,'4244',1551244509,0.33333333333333337
'7c5cde','SMO',145.1049,-37.7128,868.68,75.93,False,242.57,0.33,'4244',1551244609,0.36363636363636365
'7c5cde','SMO',145.0948,-37.7176,868.68,72.16,False,228.47,-0.33,'4244',1551244623,0.3939393939393939
'7c5cde','SMO',145.0853,-37.7236,853.44,72.24,False,234.27,-2.28,'4244',1551244638,0.42424242424242425
'7c5cde','SMO',145.0783,-37.7269,815.34,74.38,False,245.92,-4.88,'4244',1551244648,0.4545454545454546
'7c5cde','SMO',145.0694,-37.7288,777.24,74.86,False,261.7,-3.9,'4244',1551244659,0.48484848484848486
'7c5cde','SMO',145.0612,-37.7294,754.38,71.69,False,265.89,-1.63,'4244',1551244669,0.5151515151515151
'7c5cde','SMO',145.053,-37.7297,716.28,68.44,False,268.71,-4.55,'4244',1551244679,0.5454545454545454
'7c5cde','SMO',145.0456,-37.7296,670.56,67.41,False,271.31,-4.55,'4244',1551244689,0.5757575757575758
'7c5cde','SMO',145.0385,-37.7293,624.84,66.56,False,274.43,-4.55,'4244',1551244698,0.6060606060606061
'7c5cde','SMO',145.0303,-37.7289,579.12,65.41,False,272.7,-5.53,'4244',1551244709,0.6363636363636364
'7c5cde','SMO',145.0227,-37.7287,518.16,66.38,False,271.33,-5.85,'4244',1551244719,0.6666666666666667
'7c5cde','SMO',145.0075,-37.7286,464.82,66.88,False,269.56,-2.28,'4244',1551244739,0.696969696969697
'7c5cde','SMO',145.0002,-37.7286,441.96,65.87,False,268.66,-1.63,'4244',1551244749,0.7272727272727273
'7c5cde','SMO',144.9926,-37.7288,419.1,67.44,False,267.81,-2.28,'4244',1551244759,0.7575757575757576
'7c5cde','SMO',144.9852,-37.729,396.24,65.87,False,268.66,-2.28,'4244',1551244769,0.7878787878787878
'7c5cde','SMO',144.9778,-37.7292,358.14,64.89,False,267.27,-5.53,'4244',1551244779,0.8181818181818182
'7c5cde','SMO',144.9713,-37.7295,320.04,63.41,False,266.28,-4.55,'4244',1551244788,0.8484848484848485
'7c5cde','SMO',144.9634,-37.7298,266.7,63.28,False,269.07,-5.2,'4244',1551244799,0.8787878787878788
'7c5cde','SMO',144.9559,-37.7297,236.22,63.79,False,270.46,-3.25,'4244',1551244809,0.9090909090909092
'7c5cde','SMO',144.9522,-37.7297,228.6,63.28,False,269.53,-1.63,'4244',1551244815,0.9393939393939394
'7c5cde','SMO',144.9381,-37.7303,685.8,61.74,False,269.52,-4.55,'4244',1551244834,0.9696969696969697
'7c5cde','SMO',144.9258,-37.7305,91.44,57.63,False,268.98,-2.6,'4244',1551244852,1.0
'7c6d7f','JST940',144.8416,-37.6899,190.5,85.63,False,172.41,14.96,'1320',1551242349,0.0
'7c6d7f','JST940',144.8428,-37.6968,327.66,84.1,False,172.27,15.61,'1320',1551242358,0.037037037037037035
'7c6d7f','JST940',144.8442,-37.7049,449.58,86.79,False,171.82,8.45,'1320',1551242369,0.07407407407407407
