TimeSinceStart,UserHeight,TrialID,ParticipantID,ExperimentSequence,Dataset,Layout,TaskID,TaskLevel,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,LeftMenuButtonPressed,LeftTriggerButtonPressed,LeftGripButtonPressed,LeftPadPressed,RightMenuButtonPressed,RightTriggerButtonPressed,RightGripButtonPressed,RightPadPressed,RotatingClockwise,RotatingAnticlockwise,ScaleUp,ScaleDown,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,SMRotationDiff,FilterXMin,FilterXMax,FilterYMin,FilterYMax,FilterZMin,FilterZMax,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
12.9,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9683906,0.5435486,-2.134638,337.7862,197.1058,359.7125,-1.607859,0.7990243,-2.076198,345.8568,202.0677,5.028428,-1.481168,0.8132417,-2.034557,345.1143,182.6823,359.5518,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
12.93333,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9686849,0.5435995,-2.134568,337.7805,197.1252,359.6909,-1.607923,0.7989236,-2.076252,345.8605,202.0751,4.99953,-1.481667,0.8132896,-2.034035,345.0952,182.6902,359.53,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
12.95556,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9687416,0.5436242,-2.134508,337.7707,197.1357,359.7059,-1.607957,0.7989579,-2.076268,345.8647,202.074,5.002625,-1.481701,0.8133134,-2.033932,345.104,182.6865,359.553,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
12.97778,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9687441,0.5435437,-2.134458,337.7815,197.1112,359.6989,-1.607897,0.7989758,-2.076222,345.8586,202.0734,5.013696,-1.481697,0.8132885,-2.033988,345.0928,182.6824,359.5799,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9686565,0.5435385,-2.134414,337.7653,197.1257,359.7068,-1.607895,0.7990028,-2.076179,345.8584,202.0831,5.01985,-1.481561,0.8132118,-2.034012,345.0993,182.6613,359.6051,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.03333,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9686341,0.5434442,-2.134356,337.7678,197.1116,359.7108,-1.607895,0.799005,-2.076137,345.8601,202.073,5.021437,-1.481535,0.8131037,-2.034149,345.0982,182.667,359.6267,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.05556,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9686288,0.5434424,-2.134458,337.764,197.1221,359.7007,-1.607863,0.7990115,-2.076058,345.8539,202.078,5.016069,-1.481435,0.813086,-2.034201,345.1002,182.6722,359.6159,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.08889,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9686075,0.5433431,-2.134536,337.7752,197.1137,359.6934,-1.607922,0.7990546,-2.076221,345.8536,202.0793,5.012478,-1.481673,0.812943,-2.034503,345.1001,182.6804,359.5624,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.11111,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684908,0.5433509,-2.134411,337.7878,197.1199,359.7141,-1.607873,0.7990254,-2.076225,345.8506,202.072,5.035664,-1.481583,0.8130001,-2.034404,345.0962,182.6744,359.5598,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.13333,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9685558,0.5433183,-2.134441,337.7789,197.1069,359.6946,-1.607854,0.7990478,-2.076174,345.8449,202.0639,5.055721,-1.481584,0.8130616,-2.034398,345.0942,182.6823,359.5435,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.16667,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9685577,0.5433269,-2.134471,337.783,197.1274,359.7024,-1.607826,0.7990341,-2.076111,345.8462,202.067,5.049291,-1.481641,0.8130171,-2.034449,345.0977,182.6726,359.5536,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.2,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684731,0.5433859,-2.134392,337.7725,197.1154,359.7088,-1.607902,0.799068,-2.076044,345.8502,202.0755,5.009727,-1.481741,0.8130599,-2.034406,345.1096,182.6735,359.5559,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
