TimeSinceStart,UserID,Task,Dataset,Layout,QuestionLevel,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
39.34444,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.34444,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.36667,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.48889,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.52222,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.54445,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.56667,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.58889,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.61111,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.62222,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.64444,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.66667,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.68889,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.71111,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.73333,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.74445,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.76667,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.78889,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.81111,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.82222,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.84444,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
39.86667,23,0,BIM,Half-Circle,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
