TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
35.68889,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.72222,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.78889,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.82222,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.85556,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.9,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.93333,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.01111,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.05556,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.08889,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.13334,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.16667,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.2,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.23333,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.26667,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.41111,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.47778,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.51111,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.56667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.6,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.63334,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.66667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.7,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
36.73333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
