TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z
36.01111,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884823,0.8211703,-1.86362,328.4763,196.0849,358.761
36.05556,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884767,0.8210995,-1.863537,328.4337,196.0956,358.7256
36.08889,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884678,0.8211205,-1.863446,328.4495,196.0884,358.7376
36.13334,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884655,0.8210974,-1.863344,328.4681,196.0965,358.7372
36.16667,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884665,0.8210811,-1.86332,328.4412,196.0903,358.7596
36.2,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884797,0.8211263,-1.863362,328.4558,196.0767,358.7458
36.23333,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884799,0.8211501,-1.863358,328.4555,196.1058,358.7271
36.26667,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884847,0.8212385,-1.863259,328.4539,196.0942,358.7242
36.41111,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884927,0.8212761,-1.863368,328.4465,196.0885,358.7299
36.47778,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.88488,0.8211578,-1.863291,328.4592,196.1046,358.7306
38.26667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.88488,0.8211578,-1.863291,328.4592,196.1046,358.7306
