Which country had more external debt rates in 1989 than the births attended of Austria in the same year?|3,8|60|37|France
Which year did Denmark have more armed forces personnel than its health expenditures in 1997?|2,11|60|40|1992
In which chart, Belgium has the greatest difference between two values in 1989 and 1990?|0,0|60|43|CO2 Emissions
